"report_number","date_reported","date_of_occurrence","time_of_occurrence","city","crime_code","crime_description","victim_age","victim_gender","weapon_used","crime_domain","police_deployed","case_closed","date_case_closed","year_of_occurrence"
1,2020-01-02,2020-01-01,"01:11:00","Ahmedabad",576,"IDENTITY THEFT",16,"M","Blunt Object","Violent Crime",13,"No",NA,"2020"
2,2020-01-01 19:00:00,2020-01-01 01:00:00,"06:26:00","Chennai",128,"HOMICIDE",37,"M","Poison","Other Crime",9,"No",NA,"2020"
3,2020-01-02 05:00:00,2020-01-01 02:00:00,"14:30:00","Ludhiana",271,"KIDNAPPING",48,"F","Blunt Object","Other Crime",15,"No",NA,"2020"
4,2020-01-01 05:00:00,2020-01-01 03:00:00,"14:46:00","Pune",170,"BURGLARY",49,"F","Firearm","Other Crime",1,"Yes",2020-04-29 05:00:00,"2020"
5,2020-01-01 21:00:00,2020-01-01 04:00:00,"16:51:00","Pune",421,"VANDALISM",30,"F","Other","Other Crime",18,"Yes",2020-01-08 21:00:00,"2020"
6,2020-01-02 03:00:00,2020-01-01 05:00:00,"17:09:00","Delhi",442,"ASSAULT",16,"M","Firearm","Violent Crime",18,"Yes",2020-03-30 03:00:00,"2020"
7,2020-01-01 16:00:00,2020-01-01 06:00:00,"14:08:00","Chennai",172,"VEHICLE - STOLEN",64,"F","Knife","Violent Crime",13,"Yes",2020-03-24 16:00:00,"2020"
8,2020-01-02 10:00:00,2020-01-01 07:00:00,"06:33:00","Chennai",169,"COUNTERFEITING",78,"X","Knife","Other Crime",8,"No",NA,"2020"
9,2020-01-04 03:00:00,2020-01-01 08:00:00,"06:34:00","Mumbai",338,"EXTORTION",41,"X","Blunt Object","Other Crime",1,"No",NA,"2020"
10,2020-01-03 07:00:00,2020-01-01 09:00:00,"17:50:00","Chennai",497,"PUBLIC INTOXICATION",29,"M","Knife","Other Crime",4,"No",NA,"2020"
11,2020-01-02 13:00:00,2020-01-01 10:00:00,"19:42:00","Delhi",260,"FRAUD",71,"M","Explosives","Other Crime",5,"Yes",2020-02-01 13:00:00,"2020"
12,2020-01-03 09:00:00,2020-01-01 11:00:00,"22:16:00","Surat",563,"IDENTITY THEFT",26,"M","Poison","Violent Crime",3,"No",NA,"2020"
13,2020-01-01 16:00:00,2020-01-01 12:00:00,"23:14:00","Visakhapatnam",498,"FRAUD",36,"F","Poison","Other Crime",3,"Yes",2020-02-29 16:00:00,"2020"
14,2020-01-02 22:00:00,2020-01-01 13:00:00,"17:46:00","Mumbai",436,"ASSAULT",32,"X","None","Violent Crime",18,"No",NA,"2020"
15,2020-01-02,2020-01-01 14:00:00,"22:28:00","Bangalore",266,"SEXUAL ASSAULT",77,"F","None","Violent Crime",19,"No",NA,"2020"
16,2020-01-02 07:00:00,2020-01-01 15:00:00,"18:54:00","Kolkata",357,"COUNTERFEITING",51,"F","Explosives","Other Crime",16,"Yes",2020-03-30 07:00:00,"2020"
